station_Borgo Valsugana,station_Monte Gaza,station_Parco S. Chiara,station_Piana Rotaliana,station_Riva del Garda,station_Rovereto,station_Via Bolzano,elevation,day,cos_week_day,sin_week_day,cos_hour,sin_hour,temperature,precipitation,O3_1,O3_2,O3_3,O3_diff_1,O3_diff_2,PM10_1,NO2_1,power_area_50_1,power_area_50_2,target
0,0,1,0,0,0,0,312,32,1.0,0.0,6.123233995736766e-17,1.0,1.45,0.0,18.0,21.0,25.0,-3.0,-7.0,8.0,36.0,79.07789137682784,76.3410730277463,12.0
0,0,1,0,0,0,0,312,32,1.0,0.0,-0.25881904510252063,0.9659258262890683,0.65,0.0,12.0,18.0,21.0,-6.0,-9.0,8.0,43.0,87.87793544702681,79.07789137682784,5.0
0,0,1,0,0,0,0,312,32,1.0,0.0,-0.4999999999999998,0.8660254037844388,0.875,0.0,5.0,12.0,18.0,-7.0,-13.0,7.0,55.0,111.52797555742669,87.87793544702681,4.0
0,0,1,0,0,0,0,312,32,1.0,0.0,-0.7071067811865475,0.7071067811865476,1.2000000000000002,0.0,4.0,5.0,12.0,-1.0,-8.0,11.0,64.0,144.9306323999034,111.52797555742669,5.0
0,0,1,0,0,0,0,312,32,1.0,0.0,-0.8660254037844387,0.49999999999999994,1.425,0.0,5.0,4.0,5.0,1.0,0.0,16.0,73.0,163.74604451256278,144.9306323999034,10.0
0,0,1,0,0,0,0,312,32,1.0,0.0,-0.9659258262890682,0.258819045102521,2.325,0.0,10.0,5.0,4.0,5.0,6.0,16.0,63.0,168.07898571584866,163.74604451256278,22.0
0,0,1,0,0,0,0,312,32,1.0,0.0,-1.0,1.2246467991473532e-16,4.875,0.0,22.0,10.0,5.0,12.0,17.0,12.0,46.0,168.35813179712054,168.07898571584866,27.0
0,0,1,0,0,0,0,312,32,1.0,0.0,-0.9659258262890683,-0.2588190451025208,6.025,0.0,27.0,22.0,10.0,5.0,17.0,9.0,44.0,165.61114345439768,168.35813179712054,29.0
0,0,1,0,0,0,0,312,32,1.0,0.0,-0.8660254037844388,-0.4999999999999998,7.55,0.0,29.0,27.0,22.0,2.0,7.0,7.0,41.0,156.10698267128873,165.61114345439768,28.0
0,0,1,0,0,0,0,312,32,1.0,0.0,-0.7071067811865479,-0.7071067811865471,8.825,0.0,28.0,29.0,27.0,-1.0,1.0,8.0,43.0,150.62667846679318,156.10698267128873,27.0
